( 0::bigint, 'A' ),
( 1::bigint, 'B' ),
( 2::bigint, 'C' ),
( 3::bigint, 'D' ),
( 4::bigint, 'E' ),
( 5::bigint, 'F' ),
( 6::bigint, 'G' ),
( 7::bigint, 'H' );

( 09/23/2018::timestamp, 7::bigint, 5 ),
( 11/05/2017::timestamp, 0::bigint, 1 ),
( 04/05/2001::timestamp, 0::bigint, 4 ),
( 03/23/2007::timestamp, 1::bigint, 15 ),
( 08/16/2014::timestamp, 4::bigint, 15 ),
( 04/08/2012::timestamp, 1::bigint, 14 ),
( 02/02/2006::timestamp, 6::bigint, 1 ),
( 10/29/2011::timestamp, 4::bigint, 7 ),
( 07/05/2011::timestamp, 7::bigint, 2 ),
( 12/05/2008::timestamp, 6::bigint, 19 ),
( 10/24/2006::timestamp, 0::bigint, 5 ),
( 04/01/2008::timestamp, 5::bigint, 19 ),
( 04/04/2019::timestamp, 7::bigint, 19 ),
( 09/07/2003::timestamp, 3::bigint, 19 ),
( 09/14/2019::timestamp, 0::bigint, 16 ),
( 11/07/2001::timestamp, 0::bigint, 13 ),
( 10/08/2015::timestamp, 7::bigint, 1 ),
( 12/05/2014::timestamp, 1::bigint, 2 ),
( 02/17/2010::timestamp, 7::bigint, 8 ),
( 11/27/2016::timestamp, 3::bigint, 4 ),
( 10/22/2019::timestamp, 2::bigint, 19 ),
( 11/20/2014::timestamp, 7::bigint, 5 ),
( 01/23/2007::timestamp, 5::bigint, 18 ),
( 01/05/2014::timestamp, 3::bigint, 16 ),
( 01/10/2007::timestamp, 5::bigint, 2 ),
( 06/17/2018::timestamp, 0::bigint, 15 ),
( 05/20/2003::timestamp, 6::bigint, 4 ),
( 12/21/2004::timestamp, 5::bigint, 9 ),
( 09/08/2016::timestamp, 6::bigint, 6 ),
( 06/19/2005::timestamp, 5::bigint, 6 ),
( 03/20/2015::timestamp, 4::bigint, 10 ),
( 11/12/2001::timestamp, 3::bigint, 6 ),
( 03/15/2016::timestamp, 1::bigint, 15 ),
( 03/02/2019::timestamp, 3::bigint, 13 ),
( 08/23/2010::timestamp, 3::bigint, 4 ),
( 05/30/2006::timestamp, 5::bigint, 19 ),
( 05/05/2009::timestamp, 5::bigint, 14 ),
( 11/07/2000::timestamp, 6::bigint, 16 ),
( 11/03/2000::timestamp, 2::bigint, 15 ),
( 03/12/2015::timestamp, 3::bigint, 7 ),
( 02/14/2016::timestamp, 2::bigint, 17 ),
( 11/14/2016::timestamp, 0::bigint, 12 ),
( 12/21/2000::timestamp, 0::bigint, 8 ),
( 02/13/2006::timestamp, 7::bigint, 13 ),
( 01/26/2001::timestamp, 2::bigint, 14 ),
( 09/10/2004::timestamp, 2::bigint, 8 ),
( 11/06/2002::timestamp, 3::bigint, 4 ),
( 04/09/2007::timestamp, 1::bigint, 12 ),
( 01/24/2001::timestamp, 1::bigint, 19 ),
( 02/28/2009::timestamp, 3::bigint, 3 ),
( 11/07/2003::timestamp, 4::bigint, 3 ),
( 05/06/2017::timestamp, 5::bigint, 13 ),
( 06/28/2003::timestamp, 3::bigint, 7 ),
( 07/24/2014::timestamp, 6::bigint, 11 ),
( 12/02/2003::timestamp, 4::bigint, 6 ),
( 01/25/2007::timestamp, 6::bigint, 17 ),
( 07/01/2001::timestamp, 7::bigint, 18 ),
( 12/13/2011::timestamp, 6::bigint, 1 ),
( 09/06/2011::timestamp, 6::bigint, 3 ),
( 09/25/2014::timestamp, 2::bigint, 17 ),
( 03/06/2011::timestamp, 2::bigint, 17 ),
( 03/18/2000::timestamp, 0::bigint, 12 ),
( 09/15/2003::timestamp, 3::bigint, 17 ),
( 01/12/2000::timestamp, 7::bigint, 3 ),
( 01/26/2014::timestamp, 0::bigint, 2 ),
